Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,JPM,TSLA,MSFT,HDFCBANK.NS,RELIANCE.NS,TCS.NS,AAPL,JPM,TSLA,MSFT,HDFCBANK.NS,RELIANCE.NS,TCS.NS,AAPL,JPM,TSLA,MSFT,HDFCBANK.NS,RELIANCE.NS,TCS.NS,AAPL,JPM,TSLA,MSFT,HDFCBANK.NS,RELIANCE.NS,TCS.NS,AAPL,JPM,TSLA,MSFT,HDFCBANK.NS,RELIANCE.NS,TCS.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/01/2019,37.61785889,82.01350403,20.67466736,94.94550323,14.5394631,7.179480332,24.63880809,37.83939452,82.40164669,21.00866699,95.53703216,14.55909115,7.219829445,24.73203817,36.73886957,79.23044981,19.92000008,92.89861617,14.25180091,7.109671211,24.4083204,36.89608794,79.2387036,20.40666771,93.47136946,14.4010455,7.206700101,24.55075622,148158800,15670900,174879000,35329300,3186720,9746670,1094883
2/01/2019,37.61785889,82.01350403,20.67466736,94.94550323,14.40680116,7.085973351,24.90425454,37.83939452,82.40164669,21.00866699,95.53703216,14.5354031,7.217906777,25.0486314,36.73886957,79.23044981,19.92000008,92.89861617,14.34723783,7.051388587,24.60254897,36.89608794,79.2387036,20.40666771,93.47136946,14.50359137,7.137849856,24.66729252,148158800,15670900,174879000,35329300,4067116,15628818,2100463
3/01/2019,33.87083435,80.8479538,20.02400017,91.45265961,14.24269,6.973542817,24.51399088,34.71170925,82.32987387,20.62666702,94.07230026,14.353634,7.112981621,25.09460069,33.8255742,80.49828855,19.82533264,91.26486751,14.18333951,6.956631513,24.42560948,34.29722555,82.12173888,20.46666718,93.98779203,14.32631911,7.067671954,24.759783,365248800,16286400,104478000,42579100,6385832,16288287,2611668
4/01/2019,35.31676102,83.82843781,21.17933273,95.70603943,14.21172383,6.977285676,24.09882659,35.38584346,84.02824559,21.20000076,96.25062569,14.28588862,7.014120429,24.41148123,34.25435404,81.82201376,20.18199921,92.88922282,14.16407162,6.865829676,23.63851151,34.42824508,82.51302334,20.39999962,93.63098538,14.19695838,6.969347426,24.39607381,234428400,16935200,110911500,44060600,3643560,18516544,4280862
7/01/2019,35.23814774,83.88673401,22.3306675,95.82811737,14.3918604,7.094232595,24.64075368,35.45253736,84.47783666,22.44933319,96.96423276,14.49162376,7.182208206,24.78227053,34.75458524,83.01256445,21.18333244,94.81406864,14.37387675,7.070151526,24.42133784,35.42156912,83.61199428,21.44799995,95.43376469,14.43970579,7.10868115,24.56155668,219111200,15430700,113268000,35656100,2693506,12060290,1856423
8/01/2019,35.90990067,83.72851563,22.35666656,96.52292633,14.21381278,7.064631608,24.48391849,36.16478529,84.76919023,22.93400002,97.62148318,14.35236873,7.098526889,24.65007082,35.37869718,82.87932794,21.80133247,95.49947916,14.17089357,7.009311636,24.35138428,35.62643221,84.61100566,22.79733276,96.74826967,14.34223049,7.067509436,24.63714065,164101200,13578800,105127500,31514400,4171730,12304389,1691756
9/01/2019,36.51970673,83.58700562,22.56866646,97.90316772,14.20130449,7.051120305,24.2181766,36.81032109,84.49447104,22.89999962,98.4759211,14.23183011,7.090795892,24.62952494,35.6431021,83.19571085,22.09799957,96.93606169,14.10603908,6.974626105,23.95827671,36.03852504,83.92834366,22.36666679,97.51820645,14.20935479,7.059055592,24.48064433,180396400,14230300,81493500,32280800,4284314,12614237,2414376
10/01/2019,36.63642502,83.57868195,22.99799919,97.27407074,14.1014074,7.008516204,24.16295796,36.67691998,83.86174882,23.02599907,97.41491301,14.20373238,7.030665227,24.37342602,35.93609227,82.64623495,22.11933327,96.12856411,13.99540376,6.98003913,23.95248833,36.3267536,83.27063989,22.29333305,96.91727653,14.15825443,7.010098217,24.18150928,143122800,14376100,90846000,30067600,3845770,8925160,3053461
11/01/2019,36.27673721,83.17906189,23.15066719,96.52292633,14.09029267,6.932059984,23.51790858,36.61261176,83.39551768,23.22733307,97.12384668,14.17102279,7.031490858,23.93209271,36.09093505,82.37981802,22.58466721,95.43375372,14.06427309,6.872401544,23.4215414,36.41728286,83.16240754,22.80599976,96.88911195,14.10297018,6.992349712,23.86827379,108092800,15439900,75586500,28314200,3204020,14139060,9209862
14/01/2019,35.73123932,84.03658295,22.29333305,95.81872559,14.09164836,6.958607745,23.25903913,36.03376483,84.38624819,22.83333206,96.58865526,14.14696494,6.982082014,23.7432684,35.54543717,82.13839291,22.26666641,95.07696293,14.07019255,6.892625088,23.21735052,35.9337178,82.31322554,22.82533264,95.67788331,14.14696494,6.947187612,23.73044114,129756800,21258500,78709500,28437100,2427580,8994060,3615370
15/01/2019,36.46253586,84.65267181,22.96199989,98.59798431,14.0843212,7.094934526,23.71778377,36.5387606,85.31037921,23.25333214,98.63554273,14.11485481,7.109694048,23.73746512,35.74314598,82.08844696,22.29999924,95.65910072,13.95223363,6.940116349,22.95842806,35.79555208,82.32988433,22.33333206,96.25063686,13.97247863,6.940116349,22.98382456,114843600,26504900,90849000,31587600,2543778,22011407,7711653
16/01/2019,36.9079895,85.33531952,23.06999969,98.94539642,14.07155346,7.133437273,23.74512257,37.13190585,86.1262297,23.46666718,99.77166739,14.1034109,7.1905852,23.80670227,36.44586488,84.75254427,22.89999962,98.55104373,13.99224284,7.098583083,23.45118885,36.46492198,85.12718459,22.98533249,98.83272832,14.07055857,7.127784608,23.74321773,122278800,18533000,70375500,29853900,2626226,13961606,2359280
17/01/2019,37.12714767,85.68502045,23.15399933,99.64020538,14.09782324,7.09712653,24.01126454,37.55592336,86.1678952,23.43333244,100.1190591,14.12162388,7.181269504,24.0581634,36.50780461,84.8524804,22.94333267,98.36324782,13.97253456,7.069286843,23.71972726,36.731721,85.01066504,23.0806675,98.58859117,14.05121144,7.15968648,23.80465272,119284800,14247600,55150500,28393000,4120114,16379077,2625816
18/01/2019,37.35582352,87.07537079,20.15066719,101.1331253,14.15065622,7.444225017,24.20531231,37.60832371,87.33346255,21.80866623,101.311526,14.20878003,7.479109775,24.25052163,37.1557258,85.61010471,19.98200035,99.4430393,14.04636583,7.135607646,23.89138732,37.5178034,86.39268812,21.53333282,100.8983905,14.18220915,7.220775765,23.95506373,135004000,16428700,362262000,37427600,2603988,56181172,1683728
21/01/2019,37.35582352,87.07537079,20.15066719,101.1331253,14.22953326,7.757732514,24.23964288,37.60832371,87.33346255,21.80866623,101.311526,14.35108592,7.771835219,24.53554317,37.1557258,85.61010471,19.98200035,99.4430393,14.08612241,7.450293862,24.07137376,37.5178034,86.39268812,21.53333282,100.8983905,14.17521607,7.483827223,24.15455647,135004000,16428700,362262000,37427600,8780756,48206814,2409803
